code,name,count,bamount,samount,net,bcount,scount
002939,长城证券,4,71026.74,49387.51,21639.22,18,16
000858,五粮液,1,48792.6,29879.63,18912.97,4,3
000150,宜华健康,2,43853.97,25417.54,18436.43,7,7
002304,洋河股份,1,64778.17,49157.36,15620.81,3,2
000989,九芝堂,1,18172.92,5618.19,12554.74,5,5
300748,金力永磁,6,56364.02,44897.69,11466.33,25,25
000629,攀钢钒钛,1,17299.0,7213.35,10085.66,5,5
603032,德新交运,3,25585.53,17120.71,8464.82,12,13
601162,天风证券,3,8107.17,286.04,7821.13,9,10
002926,华西证券,1,11284.12,3989.58,7294.54,5,5
000750,国海证券,1,18374.96,12510.35,5864.61,5,5
300694,蠡湖股份,6,59132.4,53306.37,5826.02,21,25
000669,金鸿控股,1,8647.74,2950.25,5697.49,5,5
300104,乐视网,2,20085.45,14549.49,5535.96,10,10
002862,实丰文化,4,19864.6,15104.12,4760.48,14,14
600425,青松建化,1,7201.12,2631.01,4570.11,5,5
002843,泰嘉股份,2,38031.98,33592.2,4439.78,10,10
002427,*ST尤夫,1,8093.63,3662.06,4431.57,5,5
601012,隆基股份,1,46433.15,42096.36,4336.79,2,5
002687,乔治白,4,16735.45,12438.48,4296.97,20,18
002635,安洁科技,1,6398.33,2257.62,4140.72,5,5
300724,捷佳伟创,1,6618.51,2626.18,3992.33,5,5
002072,凯瑞德,1,7291.45,3360.34,3931.1,5,5
002366,台海核电,1,5924.28,2120.0,3804.28,5,5
601990,南京证券,3,33974.88,30209.26,3765.62,13,14
600718,东软集团,1,7299.68,3732.04,3567.64,4,3
002937,兴瑞科技,6,40521.22,37004.11,3517.11,23,23
000609,中迪投资,2,5647.33,2370.38,3276.95,8,7
002700,新疆浩源,1,4727.75,1548.79,3178.96,5,5
600560,金自天正,2,3676.11,820.32,2855.78,6,7
600856,中天能源,1,5141.32,2429.7,2711.63,5,5
002923,润都股份,2,16442.25,13824.88,2617.37,8,8
000659,珠海中富,1,4586.78,2189.2,2397.58,5,5
603105,芯能科技,1,4261.99,1932.05,2329.94,5,5
603192,汇得科技,1,3553.52,1247.37,2306.15,5,5
000670,盈方微,1,3058.69,813.36,2245.33,5,5
300612,宣亚国际,1,3144.98,911.03,2233.94,5,5
002774,快意电梯,1,2946.42,731.97,2214.45,5,5
000993,闽东电力,2,5395.92,3198.28,2197.64,9,6
000416,民生控股,2,13473.0,11289.92,2183.08,10,9
000831,五矿稀土,1,3920.35,1782.87,2137.48,5,5
300730,科创信息,2,12632.18,10505.7,2126.48,10,10
600796,钱江生化,2,3413.4,1353.05,2060.35,10,9
300508,维宏股份,4,11858.56,9828.83,2029.73,19,17
300492,山鼎设计,4,10452.22,8490.02,1962.19,16,17
002180,纳思达,1,5087.6,3134.14,1953.45,3,5
