code,name,count,bamount,samount,net,bcount,scount
002939,长城证券,4,71026.74,49387.51,21639.22,18,16
300274,阳光电源,1,29368.22,8849.25,20518.97,4,5
300122,智飞生物,1,29478.42,10519.07,18959.35,2,5
000150,宜华健康,3,49914.4,31077.58,18836.83,11,10
601162,天风证券,3,26090.46,10590.21,15500.25,14,13
300748,金力永磁,6,62015.25,47970.78,14044.48,25,26
000989,九芝堂,1,18172.92,5618.19,12554.74,5,5
300760,迈瑞医疗,1,18998.65,7023.03,11975.63,4,5
300104,乐视网,1,15694.79,4891.44,10803.36,5,5
000629,攀钢钒钛,1,17299.0,7213.35,10085.66,5,5
603032,德新交运,3,28325.52,18751.57,9573.96,12,14
002192,融捷股份,1,15531.47,6984.7,8546.76,5,5
600895,张江高科,1,10324.15,2139.26,8184.89,5,5
002700,新疆浩源,2,23558.75,16042.55,7516.19,9,10
002926,华西证券,1,11284.12,3989.58,7294.54,5,5
000750,国海证券,1,18374.96,12510.35,5864.61,5,5
300670,大烨智能,4,16900.93,11060.01,5840.92,16,15
000669,金鸿控股,1,8647.74,2950.25,5697.49,5,5
300694,蠡湖股份,6,59644.48,54006.38,5638.1,21,24
000917,电广传媒,1,8316.13,3080.08,5236.05,5,5
002054,德美化工,1,7283.34,2252.67,5030.67,5,5
600796,钱江生化,3,7120.13,2471.56,4648.57,11,10
600425,青松建化,1,7201.12,2631.01,4570.11,5,5
002881,美格智能,1,5460.77,925.94,4534.83,5,5
601012,隆基股份,1,46433.15,42096.36,4336.79,2,5
002635,安洁科技,1,6398.33,2257.62,4140.72,5,5
000532,华金资本,1,5282.58,1192.2,4090.38,5,5
000931,中关村,2,11442.66,7377.75,4064.9,10,9
600783,鲁信创投,1,5607.32,1678.02,3929.3,5,5
002366,台海核电,1,5924.28,2120.0,3804.28,5,5
601990,南京证券,3,33974.88,30209.26,3765.62,13,14
600718,东软集团,1,7299.68,3732.04,3567.64,4,3
000609,中迪投资,3,7070.57,3997.12,3073.44,12,12
600560,金自天正,2,3676.11,820.32,2855.78,6,7
300688,创业黑马,1,5737.07,2884.72,2852.35,5,5
000622,恒立实业,2,12416.87,9688.94,2727.93,11,12
600856,中天能源,1,5141.32,2429.7,2711.63,5,5
002923,润都股份,2,16442.25,13824.88,2617.37,8,8
000659,珠海中富,1,4586.78,2189.2,2397.58,5,5
603105,芯能科技,1,4261.99,1932.05,2329.94,5,5
603192,汇得科技,1,3553.52,1247.37,2306.15,5,5
600604,市北高新,1,3959.75,1678.02,2281.73,5,5
000670,盈方微,1,3058.69,813.36,2245.33,5,5
002774,快意电梯,1,2946.42,731.97,2214.45,5,5
000993,闽东电力,2,5395.92,3198.28,2197.64,9,6
000831,五矿稀土,1,3920.35,1782.87,2137.48,5,5
600624,复旦复华,1,3418.4,1370.13,2048.27,5,5
600053,九鼎投资,1,3598.9,1558.05,2040.85,5,5
002180,纳思达,1,5087.6,3134.14,1953.45,3,5
300707,威唐工业,1,2922.58,1003.95,1918.63,5,5
002776,柏堡龙,1,11077.27,9164.52,1912.75,5,5
002326,永太科技,1,4133.23,2258.01,1875.22,5,5
300543,朗科智能,1,2729.18,895.65,1833.53,5,5
300730,科创信息,3,15384.81,13571.89,1812.92,14,15
600689,上海三毛,1,2689.8,956.19,1733.61,5,5
300508,维宏股份,3,8780.85,7071.16,1709.69,14,14
300680,隆盛科技,1,3592.46,1947.02,1645.44,5,5
002076,雪莱特,1,3759.41,2167.61,1591.8,5,5
000498,山东路桥,1,3519.19,1978.74,1540.45,5,5
600864,哈投股份,1,4117.49,2582.05,1535.44,5,5
603996,中新科技,1,2232.49,698.96,1533.53,5,5
002888,惠威科技,1,3494.21,1990.6,1503.61,5,5
002607,亚夏汽车,1,3145.86,1658.31,1487.55,5,5
002459,天业通联,1,2512.21,1029.71,1482.5,5,5
002862,实丰文化,4,23041.97,21563.09,1478.89,13,13
600133,东湖高新,1,4784.35,3330.91,1453.44,5,5
300345,红宇新材,1,2672.22,1251.54,1420.68,5,5
300202,聚龙股份,1,3782.67,2391.05,1391.62,5,5
002018,*ST华信,1,2381.07,1004.38,1376.69,5,5
600186,莲花健康,1,1848.32,492.26,1356.06,5,5
600119,长江投资,1,2276.42,933.98,1342.45,5,5
300390,天华超净,1,2860.58,1578.19,1282.39,5,5
000971,高升控股,1,2117.24,998.36,1118.88,5,5
002260,*ST德奥,1,2713.9,1701.7,1012.2,5,5
300108,吉药控股,1,3360.92,2362.74,998.19,5,5
603660,苏州科达,1,8785.2,7841.31,943.89,2,5
002575,群兴玩具,1,5416.72,4508.96,907.75,5,5
002137,麦达数字,1,7045.44,6159.04,886.4,7,8
603701,德宏股份,1,1513.49,633.67,879.82,5,5
